ID,name,Handedness,Height,weight,BattingAvg,HR
748,Joe Lefebvre,LeftHanded,70,170,0.258,31
805,Steve Hovley,LeftHanded,70,188,0.258,8
844,Dave May,LeftHanded,70,186,0.251,96
886,Ed Ott,LeftHanded,70,190,0.259,33
910,Norm Miller,LeftHanded,70,185,0.238,24
920,Ruppert Jones,LeftHanded,70,170,0.25,147
946,Broderick Perkins,LeftHanded,70,180,0.271,8
966,Mike Brumley,LeftHanded,70,195,0.229,5
967,Al Luplow,LeftHanded,70,175,0.235,33
1059,Jack Perconte,LeftHanded,70,160,0.27,2
1111,Curt Ford,LeftHanded,70,150,0.245,7
1115,Jesse Gonder,LeftHanded,70,180,0.251,26
1120,Bill Sharp,LeftHanded,70,178,0.255,9
1129,Gail Hopkins,LeftHanded,70,198,0.266,25
1137,Tom Poquette,LeftHanded,70,175,0.268,10
27,Bobby Cox,RightHanded,71,180,0.225,9
36,Jerry Buchek,RightHanded,71,185,0.22,22
37,Ivan DeJesus,RightHanded,71,175,0.254,21
47,Eric Soderholm,RightHanded,71,187,0.264,102
61,Bo Diaz,RightHanded,71,185,0.255,87
71,Dal Maxvill,RightHanded,71,157,0.217,6
87,Elliott Maddox,RightHanded,71,180,0.261,18
101,Frank White,RightHanded,71,165,0.255,160
111,Ray Oyler,RightHanded,71,165,0.175,15
121,Ed Spiezio,RightHanded,71,180,0.238,39
158,Rich Morales,RightHanded,71,170,0.195,6
169,Jim Ray Hart,RightHanded,71,185,0.278,170
178,Junior Moore,RightHanded,71,185,0.264,7
182,Al Downing,RightHanded,71,175,0.127,2
191,Dave Cash,RightHanded,71,170,0.283,21
206,Hal McRae,RightHanded,71,180,0.29,191
238,Rick Bosetti,RightHanded,71,185,0.25,17
260,Mike de la Hoz,RightHanded,71,175,0.251,25
293,Mario Mendoza,RightHanded,71,170,0.215,4
304,Thurman Munson,RightHanded,71,190,0.292,113
312,Jackie Hernandez,RightHanded,71,165,0.208,12
320,Mickey Klutts,RightHanded,71,170,0.241,14
338,Jim Morrison,RightHanded,71,175,0.26,112
359,Dave Hilton,RightHanded,71,191,0.213,6
367,Gary Allenson,RightHanded,71,185,0.221,19
389,Doug Camilli,RightHanded,71,195,0.199,18
398,Amos Otis,RightHanded,71,165,0.277,193
403,Doug Flynn,RightHanded,71,165,0.238,7
432,Julio Gonzalez,RightHanded,71,162,0.235,4
442,Juan Beniquez,RightHanded,71,150,0.274,79
460,Hector Cruz,RightHanded,71,170,0.225,39
497,Jose Morales,RightHanded,71,187,0.287,26
552,Rennie Stennett,RightHanded,71,160,0.274,41
555,Rich McKinney,RightHanded,71,185,0.225,20
575,Felix Millan,RightHanded,71,172,0.279,22
634,Randy Hundley,RightHanded,71,170,0.236,82
643,Lou Johnson,RightHanded,71,170,0.258,48
665,Kiko Garcia,RightHanded,71,180,0.239,12
688,Felix Torres,RightHanded,71,165,0.254,27
702,Buddy Bradford,RightHanded,71,170,0.226,52
720,Jim Wohlford,RightHanded,71,175,0.26,21
728,Dave Rosello,RightHanded,71,160,0.236,10
730,Paul Schaal,RightHanded,71,165,0.244,57
731,Tito Landrum,RightHanded,71,175,0.249,13
783,Tommie Agee,RightHanded,71,195,0.255,130
789,Dick Tracewski,RightHanded,71,160,0.213,8
793,Bill Madlock,RightHanded,71,180,0.305,163
843,John Castino,RightHanded,71,175,0.278,41
845,Ron Washington,RightHanded,71,155,0.261,20
857,Max Alvis,RightHanded,71,185,0.247,111
875,Bob Bailor,RightHanded,71,170,0.264,9
877,Tony Armas,RightHanded,71,182,0.252,251
878,Willie Horton,RightHanded,71,209,0.273,325
934,Charlie Moore,RightHanded,71,180,0.261,36
942,Reid Nichols,RightHanded,71,165,0.266,22
969,Dick Allen,RightHanded,71,187,0.292,351
977,Bob Brower,RightHanded,71,185,0.242,17
981,Garth Iorg,RightHanded,71,170,0.258,20
998,Rey Quinones,RightHanded,71,160,0.243,29
1025,Tom Lawless,RightHanded,71,170,0.207,2
1028,Dave McNally,RightHanded,71,185,0.133,9
1034,Jackie Gutierrez,RightHanded,71,175,0.237,4
1041,Junior Kennedy,RightHanded,71,175,0.248,4
1057,Marty Perez,RightHanded,71,160,0.246,22
1067,Leo Cardenas,RightHanded,71,150,0.257,118
1071,Skip Jutze,RightHanded,71,190,0.215,3
1077,Ellie Rodriguez,RightHanded,71,185,0.245,16
1102,Ed Romero,RightHanded,71,160,0.247,8
1108,Jerry Terrell,RightHanded,71,165,0.253,4
1117,Bob Coluccio,RightHanded,71,183,0.22,26
1121,Alan Bannister,RightHanded,71,170,0.27,19
3,Joe Nolan,LeftHanded,71,175,0.263,27
14,Frank Tepedino,LeftHanded,71,185,0.241,6
50,Wayne Garrett,LeftHanded,71,175,0.239,61
115,Lou Brock,LeftHanded,71,170,0.293,149
140,Tim Flannery,LeftHanded,71,175,0.255,9
152,Eddie Milner,LeftHanded,71,173,0.253,42
164,Johnny Oates,LeftHanded,71,188,0.25,14
189,Chuck Hiller,LeftHanded,71,170,0.243,20
265,Don Mason,LeftHanded,71,160,0.205,3
328,Dick McAuliffe,LeftHanded,71,176,0.247,197
342,Tom Hutton,LeftHanded,71,180,0.248,22
344,Rich Chiles,LeftHanded,71,170,0.254,6
351,Oscar Gamble,LeftHanded,71,160,0.265,200
394,John Donaldson,LeftHanded,71,160,0.238,4
423,Carl Yastrzemski,LeftHanded,71,175,0.285,452
435,Gates Brown,LeftHanded,71,220,0.257,84
471,Bernie Carbo,LeftHanded,71,173,0.264,96
543,Tim Corcoran,LeftHanded,71,175,0.27,12
581,Jim Gosger,LeftHanded,71,185,0.226,30
586,Marvell Wynne,LeftHanded,71,175,0.247,40
629,Bobby Tolan,LeftHanded,71,170,0.265,86
635,Jose Tartabull,LeftHanded,71,165,0.261,2
679,John Stephenson,LeftHanded,71,180,0.216,12
709,Dan Meyer,LeftHanded,71,180,0.253,86
742,Ray Sadecki,LeftHanded,71,180,0.191,5
788,Bobby Murcer,LeftHanded,71,160,0.277,252
861,Merritt Ranew,LeftHanded,71,170,0.247,8
873,Dan Driessen,LeftHanded,71,187,0.267,153
935,Ralph Garr,LeftHanded,71,185,0.306,75
959,Carlos May,LeftHanded,71,200,0.274,90
999,Mike Squires,LeftHanded,71,185,0.26,6
1007,Ed Stroud,LeftHanded,71,180,0.237,14
1060,Ed Kirkpatrick,LeftHanded,71,195,0.238,85
1114,Bob Burda,LeftHanded,71,174,0.224,13
1118,Dave Rader,LeftHanded,71,165,0.257,30
8,Dick Bertell,RightHanded,72,200,0.25,10
19,John Wockenfuss,RightHanded,72,190,0.262,86
26,Danny Walton,RightHanded,72,195,0.223,28
28,Brad Wellman,RightHanded,72,170,0.231,6
30,Pedro Gonzalez,RightHanded,72,176,0.244,8
49,Ed Brinkman,RightHanded,72,170,0.224,60
65,Kurt Bevacqua,RightHanded,72,180,0.236,27
76,Jack Heidemann,RightHanded,72,175,0.211,9
82,Hector Torres,RightHanded,72,175,0.216,18
85,Steve Lombardozzi,RightHanded,72,175,0.233,20
86,Joe Azcue,RightHanded,72,190,0.252,50
93,John Stearns,RightHanded,72,185,0.26,46
95,Tommy Dean,RightHanded,72,165,0.18,4
109,Otto Velez,RightHanded,72,170,0.251,78
122,Rico Petrocelli,RightHanded,72,175,0.251,210
135,Willie Norwood,RightHanded,72,185,0.242,18
149,Sal Butera,RightHanded,72,190,0.227,8
154,Angel Salazar,RightHanded,72,180,0.212,2
167,Ron Santo,RightHanded,72,190,0.277,342
176,Ken Berry,RightHanded,72,175,0.255,58
179,Mike Richardt,RightHanded,72,170,0.226,4
180,Chris Brown,RightHanded,72,185,0.269,38
198,Billy Conigliaro,RightHanded,72,180,0.256,40
201,Billy Cowan,RightHanded,72,170,0.236,40
217,Duffy Dyer,RightHanded,72,187,0.221,30
224,Mike Champion,RightHanded,72,185,0.229,2
239,Ron Pruitt,RightHanded,72,185,0.269,12
243,Ken Gerhart,RightHanded,72,190,0.221,24
261,Frank Taveras,RightHanded,72,155,0.255,2
262,Joe Nossek,RightHanded,72,178,0.228,3
268,Sal Bando,RightHanded,72,195,0.254,242
274,Pat Corrales,RightHanded,72,180,0.216,4
277,Duane Josephson,RightHanded,72,190,0.258,23
280,Roger Freed,RightHanded,72,190,0.245,22
283,Bob Davis,RightHanded,72,180,0.197,6
284,Toby Harrah,RightHanded,72,175,0.264,195
308,Ron Hunt,RightHanded,72,186,0.273,39
317,Joe Foy,RightHanded,72,215,0.248,58
326,Marv Breeding,RightHanded,72,175,0.25,7
329,Joe Horlen,RightHanded,72,170,0.134,0
330,Glenn Burke,RightHanded,72,195,0.237,2
356,Paul Blair,RightHanded,72,168,0.25,134
366,Carmen Fanzone,RightHanded,72,200,0.224,20
373,Chris Cannizzaro,RightHanded,72,190,0.235,18
386,Danny Thompson,RightHanded,72,183,0.248,15
397,Ken Reitz,RightHanded,72,180,0.26,68
407,Kevin Bell,RightHanded,72,195,0.222,13
414,Steve Yeager,RightHanded,72,190,0.228,102
428,Ike Brown,RightHanded,72,190,0.256,20
434,Manny Sanguillen,RightHanded,72,193,0.296,65
443,Frank Fernandez,RightHanded,72,185,0.199,39
445,Steve Brye,RightHanded,72,190,0.258,30
446,Ron Jackson,RightHanded,72,200,0.259,56
448,Rufino Linares,RightHanded,72,170,0.27,11
450,Bob Kearney,RightHanded,72,190,0.233,27
458,Al Gallagher,RightHanded,72,180,0.263,11
463,Ted Martinez,RightHanded,72,165,0.24,7
464,Jim Anderson,RightHanded,72,170,0.218,13
467,Randy Jones,RightHanded,72,178,0.132,0
477,Jim Sundberg,RightHanded,72,190,0.248,95
481,Lenny Faedo,RightHanded,72,170,0.251,5
494,Tim Foli,RightHanded,72,179,0.251,25
495,Alan Knicely,RightHanded,72,190,0.213,12
500,Juan Marichal,RightHanded,72,185,0.165,4
504,Stan Papi,RightHanded,72,170,0.218,7
512,Bob Dernier,RightHanded,72,160,0.255,23
546,Carl Morton,RightHanded,72,200,0.156,7
547,Gary Gray,RightHanded,72,187,0.24,24
558,Bobby Clark,RightHanded,72,190,0.239,19
574,Jim Price,RightHanded,72,192,0.214,18
580,Tony Cloninger,RightHanded,72,210,0.192,11
649,Jerry Royster,RightHanded,72,165,0.249,40
656,Joel Youngblood,RightHanded,72,180,0.265,80
663,Jerry McNertney,RightHanded,72,180,0.237,27
682,Orlando Mercado,RightHanded,72,180,0.199,7
708,Joe Lis,RightHanded,72,175,0.233,32
718,Eddie Leon,RightHanded,72,170,0.236,24
723,Keith Moreland,RightHanded,72,190,0.279,121
725,Alex Johnson,RightHanded,72,205,0.288,78
732,Dave Edwards,RightHanded,72,170,0.237,14
737,Doug Griffin,RightHanded,72,160,0.245,7
738,Steve Blass,RightHanded,72,165,0.172,1
754,Chet Lemon,RightHanded,72,190,0.273,215
757,Cleon Jones,RightHanded,72,185,0.281,93
763,Dale Berra,RightHanded,72,180,0.236,49
774,Greg Pryor,RightHanded,72,180,0.25,14
817,Rick Renick,RightHanded,72,188,0.221,20
818,Jeff Torborg,RightHanded,72,195,0.214,8
823,Rick Auerbach,RightHanded,72,165,0.22,9
852,Todd Cruz,RightHanded,72,175,0.22,34
854,Bob Heise,RightHanded,72,175,0.247,1
879,Lou Piniella,RightHanded,72,182,0.291,102
884,Andres Mora,RightHanded,72,180,0.223,27
891,Julio Gotay,RightHanded,72,180,0.26,6
932,Phil Bradley,RightHanded,72,185,0.286,78
944,Luis Tiant,RightHanded,72,180,0.164,5
956,Danny Cater,RightHanded,72,170,0.276,66
971,Mark Wagner,RightHanded,72,165,0.243,3
978,Ray Culp,RightHanded,72,200,0.123,1
985,Jim Rooker,RightHanded,72,195,0.201,7
990,Catfish Hunter,RightHanded,72,190,0.226,6
991,Mario Soto,RightHanded,72,174,0.132,1
993,Hank Allen,RightHanded,72,190,0.241,6
1004,Rob Andrews,RightHanded,72,185,0.251,3
1010,Bob Barton,RightHanded,72,175,0.226,9
1030,Roy Foster,RightHanded,72,185,0.253,45
1031,Denis Menke,RightHanded,72,185,0.25,101
1073,Ron LeFlore,RightHanded,72,200,0.288,59
1074,Bill Russell,RightHanded,72,175,0.263,46
1075,Gene Tenace,RightHanded,72,190,0.241,201
1085,Rich Dauer,RightHanded,72,180,0.257,43
1095,Ron Davis,RightHanded,72,175,0.233,10
1116,Gary Sutherland,RightHanded,72,185,0.243,24
1119,Ron Gardenhire,RightHanded,72,175,0.232,4
1122,Bob Watson,RightHanded,72,201,0.295,184
1126,John Kennedy,RightHanded,72,185,0.225,32
1131,Luis Melendez,RightHanded,72,165,0.248,9
20,Tommy McCraw,LeftHanded,72,183,0.246,75
56,Jim Lyttle,LeftHanded,72,180,0.248,9
64,Pat Putnam,LeftHanded,72,205,0.255,63
125,Ken Boswell,LeftHanded,72,170,0.248,31
137,Jeff Stone,LeftHanded,72,175,0.277,11
166,Mike Phillips,LeftHanded,72,170,0.24,11
184,Jake Gibbs,LeftHanded,72,180,0.233,25
185,Garry Hancock,LeftHanded,72,175,0.247,12
214,Steve Whitaker,LeftHanded,72,180,0.23,24
229,Terry Crowley,LeftHanded,72,180,0.25,42
249,Willie Smith,LeftHanded,72,182,0.248,46
257,Dick Phillips,LeftHanded,72,180,0.229,12
263,Larry Stahl,LeftHanded,72,175,0.232,36
264,Jose Cruz,LeftHanded,72,170,0.284,165
278,Duane Walker,LeftHanded,72,185,0.229,24
282,Rod Carew,LeftHanded,72,170,0.328,92
289,Cesar Geronimo,LeftHanded,72,165,0.258,51
296,Graig Nettles,LeftHanded,72,180,0.248,390
300,Mike Easler,LeftHanded,72,190,0.293,118
309,Joe Keough,LeftHanded,72,185,0.246,9
313,Tony Solaita,LeftHanded,72,210,0.255,50
353,George Vukovich,LeftHanded,72,198,0.268,27
358,Al Oliver,LeftHanded,72,195,0.303,219
368,Milt May,LeftHanded,72,190,0.263,77
371,Jim Nettles,LeftHanded,72,186,0.22,16
388,Bill Fahey,LeftHanded,72,200,0.241,7
390,Bernie Allen,LeftHanded,72,175,0.239,73
393,Claudell Washington,LeftHanded,72,190,0.278,164
401,Dan Briggs,LeftHanded,72,180,0.195,12
449,Ray Webster,LeftHanded,72,185,0.244,17
482,John Lowenstein,LeftHanded,72,175,0.253,116
484,Joe Hague,LeftHanded,72,195,0.239,40
491,Bob Molinaro,LeftHanded,72,190,0.264,14
516,John Milner,LeftHanded,72,185,0.249,131
519,Bill Buckner,LeftHanded,72,185,0.289,174
539,Darrell Porter,LeftHanded,72,193,0.247,188
603,Keith Hernandez,LeftHanded,72,180,0.296,162
606,Willie Upshaw,LeftHanded,72,185,0.262,123
608,Dane Iorg,LeftHanded,72,180,0.276,14
614,Gene Richards,LeftHanded,72,175,0.29,26
626,Mike Fiore,LeftHanded,72,175,0.227,13
640,Duane Kuiper,LeftHanded,72,175,0.271,1
644,Ken Retzer,LeftHanded,72,185,0.264,14
657,Reggie Jackson,LeftHanded,72,195,0.262,563
680,Doug Clemens,LeftHanded,72,180,0.229,12
691,Ty Cline,LeftHanded,72,170,0.238,6
694,Jimmie Hall,LeftHanded,72,175,0.254,121
710,Jim Holt,LeftHanded,72,180,0.265,19
756,Phil Mankowski,LeftHanded,72,180,0.264,8
759,Mike Lum,LeftHanded,72,180,0.247,90
775,Jim Traber,LeftHanded,72,194,0.227,27
796,Steve Kemp,LeftHanded,72,195,0.278,130
803,Mike Hargrove,LeftHanded,72,195,0.29,80
859,Mike Cubbage,LeftHanded,72,180,0.258,34
908,Steve Barber,LeftHanded,72,195,0.115,5
958,Clay Dalrymple,LeftHanded,72,190,0.233,55
997,Willie Montanez,LeftHanded,72,170,0.275,139
1021,Leron Lee,LeftHanded,72,196,0.25,31
1087,Rowland Office,LeftHanded,72,170,0.259,32
1101,Mike Jorgensen,LeftHanded,72,195,0.243,95
1140,Rick Miller,LeftHanded,72,175,0.269,28
1154,Tom O'Malley,LeftHanded,72,180,0.256,13
2,Denny Lemaster,RightHanded,73,182,0.13,4
9,Rod Kanehl,RightHanded,73,180,0.241,6
16,Rick Wise,RightHanded,73,180,0.195,15
24,Lee Lacy,RightHanded,73,175,0.286,91
67,Syd O'Brien,RightHanded,73,185,0.23,24
89,Julian Javier,RightHanded,73,175,0.257,78
145,Benny Ayala,RightHanded,73,185,0.251,38
153,Johnny Jeter,RightHanded,73,180,0.244,18
160,Dan Ford,RightHanded,73,185,0.27,121
163,Ozzie Virgil,RightHanded,73,180,0.243,98
174,Joe Niekro,RightHanded,73,185,0.156,1
175,Andy Etchebarren,RightHanded,73,190,0.235,49
188,Denny McLain,RightHanded,73,185,0.133,1
221,Vern Fuller,RightHanded,73,170,0.232,14
231,Lou Clinton,RightHanded,73,185,0.247,65
235,Chuck Hinton,RightHanded,73,180,0.264,113
236,Tim Cullen,RightHanded,73,185,0.22,9
240,George Foster,RightHanded,73,180,0.274,348
258,Andres Thomas,RightHanded,73,170,0.234,42
307,Mark Belanger,RightHanded,73,170,0.228,20
321,Leroy Stanton,RightHanded,73,195,0.244,77
325,Adolfo Phillips,RightHanded,73,175,0.247,59
340,Bobby Knoop,RightHanded,73,170,0.236,56
347,Bob Montgomery,RightHanded,73,195,0.258,23
348,Jeff Burroughs,RightHanded,73,200,0.261,240
357,Al Cowens,RightHanded,73,197,0.27,108
369,Mike Vail,RightHanded,73,180,0.279,34
376,Mel Stottlemyre,RightHanded,73,178,0.16,7
381,Andy Messersmith,RightHanded,73,200,0.17,5
382,Richie Zisk,RightHanded,73,200,0.287,207
384,Don Baylor,RightHanded,73,190,0.26,338
385,John Vukovich,RightHanded,73,187,0.161,6
408,Tom Nieto,RightHanded,73,193,0.205,5
452,Dick Dietz,RightHanded,73,195,0.261,66
456,Barry Evans,RightHanded,73,180,0.251,2
468,Dick Billings,RightHanded,73,195,0.227,16
473,Burt Hooton,RightHanded,73,210,0.123,4
525,Rafael Santana,RightHanded,73,165,0.246,13
531,Steve Dillard,RightHanded,73,180,0.243,13
536,Ken Walters,RightHanded,73,180,0.231,11
538,Paul Dade,RightHanded,73,185,0.27,10
563,Charlie James,RightHanded,73,195,0.255,29
564,Bob Horner,RightHanded,73,195,0.277,218
565,Tom Veryzer,RightHanded,73,175,0.241,14
571,Brian Giles,RightHanded,73,165,0.228,10
588,Tucker Ashford,RightHanded,73,195,0.218,6
589,Ned Yost,RightHanded,73,190,0.212,16
615,Buddy Bell,RightHanded,73,180,0.279,201
628,Greg Luzinski,RightHanded,73,220,0.276,307
653,Tom Seaver,RightHanded,73,195,0.154,12
654,Jerry Martin,RightHanded,73,195,0.251,85
662,Phil Gagliano,RightHanded,73,180,0.238,14
683,Charley Smith,RightHanded,73,170,0.239,69
687,Bob Uecker,RightHanded,73,190,0.2,14
690,Ray Knight,RightHanded,73,185,0.271,84
695,John Boccabella,RightHanded,73,195,0.219,26
705,Dave Stapleton,RightHanded,73,178,0.271,41
743,Ken Rudolph,RightHanded,73,180,0.213,6
762,Johnny Bench,RightHanded,73,197,0.267,389
768,Sam Bowens,RightHanded,73,188,0.223,45
784,Bob Bailey,RightHanded,73,180,0.257,189
819,Dave Campbell,RightHanded,73,180,0.213,20
835,Phil Linz,RightHanded,73,180,0.235,11
851,Don Hahn,RightHanded,73,180,0.236,7
863,Damaso Garcia,RightHanded,73,165,0.283,36
874,Bruce Miller,RightHanded,73,185,0.246,1
880,Butch Hobson,RightHanded,73,193,0.248,98
900,Bob Robertson,RightHanded,73,195,0.242,115
905,Frank Quilici,RightHanded,73,170,0.214,5
921,Glenn Hoffman,RightHanded,73,175,0.242,23
922,Russ Gibson,RightHanded,73,195,0.228,8
927,Joe Gaines,RightHanded,73,190,0.241,21
929,Mickey Stanley,RightHanded,73,185,0.248,117
937,Bruce Benedict,RightHanded,73,175,0.242,18
963,Davey Johnson,RightHanded,73,170,0.261,136
975,Jake Wood,RightHanded,73,163,0.25,35
